TID,EN,FR,DE,ES,IT,NL,NO,PT,TR
TID_UPDATING_CONTENT,Downloading content,Chargement du contenu,Inhalt wird heruntergeladen,Descargando contenido,Scaricamento contenuto...,Materiaal wordt gedownload,Laster ned innhold,Baixando conteúdo,İçerik indiriliyor
TID_LOADING,Loading,Chargement,Lädt,Cargando,Caricamento,Bezig met laden,Laster,Carregando,Yükleniyor
TID_SHUTDOWN_STARTED,Game is closing for a short maintenance break in 5 minutes. Attacking is disabled during the break.,Le jeu fermera dans 5 minutes pour cause de maintenance. La fonction d'attaque est désactivée pendant la maintenance.,Das Spiel schließt sich in 5 Minuten für eine kurze Wartungspause. Während der Pause kann nicht angegriffen werden.,"Dentro de 5 minutos, el juego se detendrá por motivos de mantenimiento. No se podrá atacar durante la pausa.",Il gioco si chiuderà per manutenzione tra 5 minuti. Durante la manutenzione non sarà possibile attaccare.,Het spel zal wegens onderhoud over 5 minuten uit worden geschakeld. Aanvallen is niet mogelijk tijdens het onderhoud.,Spillet lukkes for en kort vedlikeholdspause på 5 minutter. Angrep er deaktivert i pausen.,Jogo está encerrando para uma curta pausa de manutenção em 5 minutos. O Ataque fica desativado durante o intervalo.,Oyun kısa bir bakım için 5 dakika kapanacak. Bu arada saldırı yapılamaz.
TID_SHUTDOWN_ATTACK_DISABLED,Attacking is disabled until the maintenance break is over.,La fonction d'attaque restera désactivée jusqu'à la fin de la maintenance.,"Angriffe sind deaktiviert, bis die Wartungspause vorüber ist.",No se podrá atacar hasta que termine la parada por mantenimiento.,Non sarà possibile attaccare fino al termine della manutenzione.,Gedurende het onderhoud is aanvallen niet mogelijk.,Angrep er deaktivert til vedlikeholdspausen er over.,Ataque fica desativado até que o intervalo de manutenção termine.,Bakım bitinceye kadar saldırı yapılamaz.
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT_TITLE,Game Center Alert,Alerte du Game Center,Game-Center-Alarm,Alerta de Game Center,Allerta Game Center,Game Center-melding,Game Center-varsling,Alerta do Game Center,Game Center Uyarısı
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT,Do you want to load Chief <name>'s village with Town Hall level <number>? Warning: progress in the current game will be lost.,Voulez-vous charger le village du chef <name> dont l'hôtel de ville est au niveau <number> ? Attention : toute progression dans la partie en cours sera perdue.,Möchtest du das Dorf von Häuptling <name> mit einem Rathaus auf Level <number> laden? Achtung: der Fortschritt im aktuellen Spiel geht verloren.,¿Quieres cargar la aldea del jefe <name> con ayuntamiento de nivel <number>? Aviso: se perderán los avances de la partida actual.,Vuoi caricare il villaggio del Capo <name> con il municipio di livello <number>? Attenzione: i progressi della partita in corso andranno persi.,Wil je chief <name>'s dorp met stadhuislevel <number> laden? Waarschuwing: de voortgang in het huidige spel zal verloren gaan.,Vil du laste høvding <name>s landsby med rådhus på nivå <number>? Advarsel: Fremgangen i det gjeldende spillet går tapt.,Você deseja carregar o Chefe <name> da Aldeia com Centro da Cidade de nível <number>? Atenção: o progresso do jogo atual será perdido.,Şef <name> adlı kişinin Köy Binası <number>. seviye olan köyünü yüklemek istiyor musun? Uyarı: mevcut oyundaki ilerleme kaybolur.
TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT_TITLE,Facebook Alert,Alerte Facebook,Facebook-Alarm,Aviso de Facebook,Allerta Facebook,Facebook-melding,Facebook-varsling,Alerta do Facebook,Facebook Uyarısı
TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT,This Facebook account is already linked to another Clash of Clans game. Link it to your current game instead?,Ce compte Facebook est déjà associé à une autre partir de Clash of Clans. L'associer à la partie en cours à la place ?,"Dieses Facebook-Konto ist bereits mit einem anderen ,,Clash of Clans\q-Spiel verknüpft. Stattdessen mit deinem aktuellen Spiel verknüpfen?",Esta cuenta de Facebook ya está vinculada a otra partida de Clash of Clans. ¿Quieres vincularla a la partida actual?,Questo account Facebook è già collegato a un'altra partita di Clash of Clans. Vuoi collegarlo alla partita attuale?,Dit Facebook-account is al gekoppeld aan een ander Clash of Clans-spel. Wil je het aan je huidige spel koppelen?,Denne Facebook-kontoen er allerede koblet til et annet Clash of Clans-spill. Koble til det gjeldende spillet istedenfor?,Esta conta do Facebook já está ligada à outro jogo Clash of Clans. Deseja vinculá-lo ao seu jogo atual?,Bu Facebook başka bir Clash of Clans oyununa zaten bağlı. Bunun yerine mevcut oyununa bağlansın mu?
TID_VIEW_HIGHSCORES,View the strongest Clans & Players around the world,Découvrez les clans et joueurs les plus forts du monde,Schau dir die stärksten Clans und Spieler auf der ganzen Welt an,Ver los mejores clanes y jugadores de todo el mundo.,Visualizza i clan e i giocatori più forti del mondo,Bekijk de sterkste clans en spelers ter wereld,Se de sterkeste klanene og spillerne verden rundt,Ver Clãs mais fortes e jogadores em todo o mundo,Tüm dünyadaki en güçlü Klanları ve Oyuncuları görün
TID_STARS_TOTAL,Stars Total:,Total d'étoiles :,Insgesamt:,Total de estrellas:,Totale stelle:,Sterren in totaal:,Stjerner i alt:,Total de Estrelas:,Toplam Yıldız:
TID_SETTINGS_SCREEN_TITLE,Settings,Paramètres,Einstellungen,Configuración,Impostazioni,Instellingen,Innstillinger,Configurações,Ayarlar
TID_SETTINGS_NAME,Name,Nom,Name,Nombre,Nome,Naam,Navn,Nome,Ad
TID_SETTINGS_CHANGENAMENOTE,NOTE! You can only change your name once!,ATTENTION ! Vous ne pouvez changer votre nom qu'une seule fois !,ACHTUNG! Du kannst deinen Namen nur einmal ändern!,AVISO: solo puedes cambiar una vez de nombre.,ATTENZIONE! Puoi cambiare il tuo nome una volta sola!,LET OP! Je kunt je naam maar één keer veranderen!,OBS! Du kan endre navnet ditt bare én gang!,ATENÇÃO! Você só pode mudar o seu nome uma vez!,NOT! Adını sadece bir kez değiştirebilirsin!
TID_SETTINGS_MUSIC,Music,Musique,Musik,Música,Musiche,Muziek,Musikk,Música,Müzik
TID_SETTINGS_SFX,Sound Effects,Effets,Soundeffekte,Efectos de sonido,Effetti sonori,Geluidseffecten,Lydeffekter,Efeitos sonoros,Ses Efektleri
TID_SETTINGS_FACEBOOK,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook
TID_SETTINGS_BUTTON_FACEBOOK_CONNECTED,Connected,Connecté,Verbunden,Conectado,Connesso,Verbonden,Tilkoblet,Conectado,Bağlandı
TID_SETTINGS_BUTTON_FACEBOOK_DISCONNECTED,Disconnected,Déconnecté,Getrennt,Desconectado,Disconnesso,Losgekoppeld,Frakoblet,Desconectado,Bağlantı kesildi
TID_FEEDBACK_BUTTON,Report an issue,,,,,,,,
TID_FEEDBACK_EMAIL_TITLE,Feedback%20for%20Clash%20of%20Clans,Feedback%20for%20Clash%20of%20Clans,Feedback%20for%20Clash%20of%20Clans,Comentarios%20para%20Clash%20of%20Clans,Feedback%20for%20Clash%20of%20Clans,Feedback%20for%20Clash%20of%20Clans,Tilbakemelding%20for%20Clash%20of%20Clans,Feedback%20for%20Clash%20of%20Clans,Feedback%20for%20Clash%20of%20Clans
TID_ABOUT_BUTTON,About,À propos,Über,Acerca de...,Informazioni,Over,Om,Sobre,Hakkında
TID_GIVE_NAME_TITLE,My name is...,Je m'appelle...,Mein Name ist ...,Mi nombre es...,Il mio nome è...,Mijn naam is...,Jeg heter ...,O meu nome é ...,Adım...
TID_BUTTON_DONE,Done,OK,Fertig,Listo,Fatto,Klaar,Ferdig,Feito,Tamam
TID_RATE_APP_TITLE,Rate Clash of Clans,Notez Clash of Clans,Clash of Clans bewerten,Puntuar Clash of Clans,Dai una valutazione a Clash of Clans,Waardeer Clash of Clans,Bedøm Clash of Clans,Qualifique Clash of Clans,Clash of Clans'e Puan Ver
TID_RATE_APP_MESSAGE,Please rate or review Clash of Clans on App Store to give us valuable feedback!,Notez ou commentez Clash of Clans sur l'App Store pour nous faire part de vos impressions !,Bitte bewerte Clash of Clans im App Store. Dein Feedback ist sehr wertvoll für uns!,¡Puntúa o haz un análisis de Clash of Clans en la App Store para que conozcamos tu opinión!,Dai una valutazione a Clash of Clans o scrivi una recensione nell´App Store per darci la tua opinione.,Waardeer of review Clash of Clans in App Store om ons te vertellen wat je ervan vindt!,Bedøm eller anmeld Clash of Clans på App Store for å gi oss verdifull tilbakemelding!,Por favor comente ou qualifique o Clash of Clans na App Store para nos dar um feedback valioso!,Değerli görüşlerinizi bize iletmek için Uygulama Mağazası'nda Clash of Clans'e puan verin ve inceleme yazın!
TID_BUTTON_RATE_APP_LATER,Later,Plus tard,Später,Más tarde,Più tardi,Later,Senere,Mais tarde,Sonra
TID_BUTTON_RATE_APP_REVIEW,Review,Commenter,Bewerten,Analizar,Recensione,Overzicht,Gjennomgå,Comente,İncele
TID_BUTTON_RATE_APP_NEVER,Never,Jamais,Nie,Nunca,Mai,Nooit,Aldri,Nunca,Asla
TID_COME_BACK_NOTIFICATION_SMALL,"Hey come back, your warriors need a leader",Hé ! Revenez ! Vos soldats ont besoin d'un chef,"Hey, komm zurück, deine Krieger brauchen einen Anführer","Eh, vuelve. ¡Tus guerreros necesitan un líder!","Ehi, torna qui, i tuoi guerrieri hanno bisogno di un capo.","Hé, kom terug! Je krijgers hebben een leider nodig","Hei, kom tilbake, krigerne trenger en leder","Ei, volte, seus guerreiros precisam de um líder","Her, geri gel, savaşçılarının bir lidere ihtiyacı var"
TID_COME_BACK_NOTIFICATION_MEDIUM,"Hey come back, your warriors need a leader",Hé ! Revenez ! Vos soldats ont besoin d'un chef,"Hey, komm zurück, deine Krieger brauchen einen Anführer","Eh, vuelve. ¡Tus guerreros necesitan un líder!","Ehi, torna qui, i tuoi guerrieri hanno bisogno di un capo.","Hé, kom terug! Je krijgers hebben een leider nodig","Hei, kom tilbake, krigerne trenger en leder","Ei, volte, seus guerreiros precisam de um líder","Her, geri gel, savaşçılarının bir lidere ihtiyacı var"
TID_COME_BACK_NOTIFICATION_LARGE,"Hey come back, your warriors need a leader",Hé ! Revenez ! Vos soldats ont besoin d'un chef,"Hey, komm zurück, deine Krieger brauchen einen Anführer","Eh, vuelve. ¡Tus guerreros necesitan un líder!","Ehi, torna qui, i tuoi guerrieri hanno bisogno di un capo.","Hé, kom terug! Je krijgers hebben een leider nodig","Hei, kom tilbake, krigerne trenger en leder","Ei, volte, seus guerreiros precisam de um líder","Her, geri gel, savaşçılarının bir lidere ihtiyacı var"
TID_SETTINGS_ON,On,Marche,Ein,Sí,Attiva,Aan,På,Ligado,Açık
TID_SETTINGS_OFF,Off,Arrêt,Aus,No,Disattiva,Uit,Av,Desligado,Kapalı
TID_INVALID_NAME,Invalid name! Please try another one.,Nom incorrect ! Veuillez en choisir un autre.,Ungültiger Name! Bitte versuch einen anderen.,¡Nombre no válido! Prueba con otro.,Nome non valido! Prova con un altro.,Ongeldige naam! Probeer een andere naam.,Ugyldig navn! Forsøk et annet.,"Nome inválido! Por favor, tente outro.",Geçersiz ad! Lütfen başka bir tane dene.
TID_MULTIPLAYER_COST,Match cost:,Coût de la recherche :,Spielkosten:,Coste de la partida:,Costo creazione partita:,Strijdkosten:,Matchutgift:,Custo do jogo:,Eşleşme maliyeti:
TID_MAP_LOCATION_1,Lake of P.E.K.K.A,Lac de P.E.K.K.A,See von P.E.K.K.A,Lago de P.E.K.K.A.,Lago di P.E.K.K.A,Meer van P.E.K.K.A,P.E.K.K.As fjord,Lago de P.E.K.K.A,P.E.K.K.A Gölü
TID_MAP_LOCATION_2,Forbidden Forest,La forêt défendue,Verbotener Wald,Bosque prohibido,Foresta proibita,Verboden Woud,Forbudt skog,Floresta Proibida,Yasak Orman
TID_MAP_LOCATION_3,Victory Valley,La vallée de la victoire,Siegestal,Valle de la victoria,Valle della Vittoria,Victorievallei,Seiersdalen,Vale da Vitória,Zafer Vadisi
TID_MAP_LOCATION_4,Barbaria,Barbariland,Barbaria,Barbaria,Barbaria,Barbaria,Barbaria,Barbaria,Barbaristan
TID_MAP_LOCATION_5,Frozen Lake,Le lac gelé,Gefrorener See,Lago Helado,Lago ghiacciato,Vriesmeer,Frossenfjord,Lago Congelado,Donmuş Göl
TID_MAP_LOCATION_6,Looter Creek,La crique du pilleur,Plündererbucht,Cala Botín,La Baia del Bottino,Plunderbaai,Røverbekken,Riacho do Ladrão,Yağmacı Çayı
TID_MAP_LOCATION_7,Stone Lake,Le lac de roches,Steinsee,Lago Piedra,Lago di Pietra,Steenmeer,Steinfjord,Lago da Pedra,Taşlı Göl
TID_MAP_LOCATION_8,Aslan Arc,Arc Aslan,Aslanbogen,Arco Aslan,Asco di Aslan,Aslaanark,Aslan Ark,Arco Aslan,Aslanlı Kemer
TID_MAP_LOCATION_9,Sour Lake,Le lac acide,Saurer See,Lago Agrio,Lago acido,Zuurvijver,Surfjord,Lago Azedo,Acı Göl
TID_MAP_LOCATION_10,Goblin Camp,Le camp gobelin,Koboldlager,Campamento duende,Accampamento Goblin,Gobelinkamp,Nisseleir,Acampamento dos Duendes,Goblin Kampı
TID_MAP_LOCATION_11,Rotten Sea,La mer avariée,Fauliges Meer,Mar Podrido,Mare putrido,Bloederzee,Rotten sjø,Mar Podre,Kokmuş Deniz
TID_MAP_LOCATION_12,Gold Oaks Inn,L'auberge des chênes dorés,Gasthaus Goldeiche,Posada Robles de oro,Locanda delle Querce d'oro,Goudstulpje,Vertshuset gyldne eik,Hospedaria Carvalho Dourado,Altın Meşe Hanı
TID_MAP_LOCATION_13,Colossal Pass,Col colossal,Riesenpass,Paso Colosal,Valico colossale,Kolossaalpas,Kolossalt pass,Passagem Colossal,Muazzam Geçit
TID_MAP_LOCATION_14,Goblin King's Hideout,La cachette du roi gobelin,Versteck des Koboldkönigs,Escondite del rey duende,Nascondiglio del Re dei Goblin,Gobelinhol,Nissekongens skjulested,Esconderijo do Rei Duende,Goblin Kralının Gizli Yeri
TID_NAME_TOO_SHORT,Name is too short!,Ce nom est trop petit !,Name ist zu kurz!,¡Nombre muy corto!,Il nome è troppo corto!,Naam is te kort!,Navnet er for kort!,Nome muito curto!,Ad çok kısa!
TID_BUILDER,Builder:,Ouvrier :,Bauarbeiter:,Constructor:,Muratore:,Bouwer:,Bygger:,Construtor:,İnşaatçı:
TID_SHIELD_BUY_CONFIRMATION,Shield activated!,,,,,,,,
TID_RESOURCE_BUY_CONFIRMATION,Resources received!,Vous avez bien reçu les ressources !,Ressourcen erhalten!,¡Recursos recibidos!,Risorse ricevute!,Grondstoffen ontvangen!,Ressurser er mottatt!,Recursos recebidos!,Kaynaklar alındı!
TID_BATTLECOST,Cost:,Coût :,Kosten:,Coste:,Costo:,Kosten:,Utgift:,Custo:,Maliyet:
TID_CLAN_TOTAL_POINTS,Total points:,Total de points :,Gesamtpunkte:,Puntos totales:,Punti totali:,Totaal aantal punten:,Poeng i alt:,Total de pontos:,Toplam puan:
TID_CLAN_MEMBERS,Members:,Membres :,Mitglieder:,Miembros:,Membri:,Leden:,Medlemmer:,Membros:,Üyeler:
TID_CLAN_TYPE,Type:,Type :,Art:,Tipo:,Tipo:,Type:,Type:,Tipo:,Tür:
TID_TAP_TO_VIEW,Tap to view details,Touchez pour voir les détails,"Antippen, um Details zu sehen",Toca para ver detalles,Tocca per visualizzarne i dettagli.,Klik voor meer details,Trykk for å se detaljer,Toque para ver detalhes,Ayrıntıları görmek için dokun
TID_ALLIANCE_REQUEST_ACCEPTED,Welcome to our clan!,Bienvenue dans votre clan !,Willkommen in unserem Clan!,¡Bienvenido a nuestro clan!,Ti diamo il benvenuto nel nostro clan!,Welkom bij onze clan!,Velkommen til klanen!,Bem-vindo ao nosso clã!,Klanımıza hoş geldin!
TID_ALLIANCE_REQUEST_DECLINED,Sorry. We can't take you as a member right now.,"Désolé, nous ne pouvons vous accepter en tant que membre pour le moment.",Tut uns leid. Wir können dich momentan nicht als Mitglied aufnehmen.,Lo sentimos. Ahora mismo no podemos aceptarte como miembro.,"Spiacenti. Non possiamo accettarti nel clan, per ora.","Sorry, we kunnen je op dit moment niet als lid aannemen.",Beklager. Vi kan ikke ta deg opp som medlem akkurat nå.,Desculpe. Nós não podemos aceitá-lo como membro agora.,Üzgünüz. Şu anda seni üye kabul edemiyoruz.
TID_ADD_FRIENDS_INFO,Game Center friends appear when you're logged into Game Center,Vos amis du Game Center apparaissent lorsque vous êtes y connecté.,"Game Center Freunde erscheinen, wenn du bei Game Center angemeldet bist",Los amigos del Game Center aparecen cuando inicias sesión en el Game Center,Gli amici del Game Center appaiono quando hai effettuato l'accesso a Game Center,Game Center-vrienden verschijnen als je bent aangemeld op Game Center,Game Center-venner dukker opp når du er pålogget Game Center,Os amigos do Game Center aparecem quando você está conectado ao Game Center,"Oyun Merkezi arkadaşları, Oyun Merkezi'nde oturum açtığında görünürler"
TID_GAME_CENTER,Game Center,Game Center,Game Center,Game Center,Game Center,Game Center,Game Center,Game Center,Game Center
TID_REPAIR_CLAN_CASTLE_TITLE,Rebuild Clan Castle,Réparer le château du clan,Clanburg wieder aufbauen,Reconstruye el castillo del clan,Ricostruisci castello del clan,Clankasteel herbouwen,Bygg klanslott på nytt,Reconstruir Castelo do Clã,Klan Kalesini Tekrar Kur
TID_REPAIR_CLAN_CASTLE,Be part of a Clan,Faites partie d'un clan,Werde Teil eines Clans,Forma parte de un clan,Entra in un clan,Ga bij een clan,Vær med i en klan,Seja parte de um clã,Bir Klana üye ol
TID_REPAIR_CLAN_CASTLE_2,Rebuild your Clan Castle to find allies and join the struggle for power!,Réparez le château du clan pour trouver des alliés et rejoignez la course au pouvoir !,"Baue deine Clanburg wieder auf, um Verbündete zu finden und schließ dich dem Kampf um Macht an!",¡Reconstruye tu castillo del clan para encontrar aliados y luchar por el poder!,Ricostruisci il castello del tuo clan per trovare alleati e partecipare alla lotta per il potere!,Herbouw je clankasteel om bondgenoten te vinden en de macht te grijpen!,Bygg klanslottet på nytt for å finne allierte og delta i maktkampen!,Reconstrua o seu castelo do clã para encontrar aliados e junte-se à luta pelo poder!,Müttefik bulmak ve iktidar mücadelesine katılmak için Klan Kaleni tekrar kur!
TID_POPUP_ABOUT_TO_SELL,Sell decoration,Vendre des décorations,Dekoration verkaufen,Vender decoración,Vendi decorazione,Decoratie verkopen,Selg dekorasjon,Vender decoração,Dekorasyon sat
TID_TRAP_MINE_INFO,Nothing says 'STAY OUT' quite like a good old-fashioned hidden bomb.,Il n'y a rien de mieux qu'une bonne vieille bombe cachée pour éloigner ses adversaires.,"Nichts sagt ,,DRAUSSEN BLEIBEN\q so deutlich wie eine gute, altmodische, versteckte Bombe.",Nada dice mejor \qFUERA DE AQUÍ\q que una buena bomba oculta.,Niente dice \qSTATE ALLA LARGA\q come una bomba nascosta.,Er gaat niets boven 'OPROTTEN' dan een goed verborgen bom.,"Ingen sier «PELL DEG VEKK» akkurat som en god, gammeldags skjult bombe.",Nada diz \qFIQUE FORA ' tão bem quanto uma velha bomba escondida.,Hiçbir şey eski güzel bir gizli bomba kadar iyi 'YAKLAŞMA' diyemez.
TID_TRAP_EJECTOR_INFO,This bouncy little number will toss unwanted visitors right off your property!,Ce petit chiffre rebondissant renverra les visiteurs indésirables de votre propriété !,Diese kleine Falle wirft unerwünschte Besucher sofort von deinem Besitz!,¡Esta pequeñina saltarina mantendrá a las visitas no deseadas fuera de tu propiedad!,Questo coso rimbalzoso lancerà i visitatori sgraditi fuori dalla tua proprietà!,Deze kleine stuiter gooit alle ongewenste bezoekers van je grondgebied!,Denne spretne lille saken kaster uønskede besøkende rett ut av eiendommen din!,Este número saltitante vai atirar visitantes indesejados diretamente para fora de sua propriedade!,Bu küçük sıçrayan sayı davetsiz misafirleri köyünden anında sepetler!
TID_WALL_INFO,Walls are great for keeping your village safe and your enemies in the line of fire.,Les remparts protégeront votre village en gardant vos ennemis à portée de tir.,"Mauern sind gut geeignet, um dein Dorf zu sichern und deine Feinde in der Schussbahn zu halten",Los muros son ideales para mantener la aldea a salvo y a tus enemigos en la línea de fuego.,I muri sono perfetti per tenere al sicuro il tuo villaggio e i tuoi nemici sulla linea di fuoco.,Muren zijn geweldig om je dorp te beschermen en je vijanden in de vuurlinie te houden.,Vegger er knall for å sikre landsbyen og gjøre det lett å treffe fiendene.,Muros são excelentes para proteger seu cofre da aldeia e manter os seus inimigos na linha de fogo.,Duvarlar köyünün güvenliğini ve düşmanların atış menzilinde durmasını sağlar.
TID_ABOUT,Credits\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. All Rights Reserved.\nAll use of this software is subject to Terms and Conditions and Privacy Policy at www.supercell.net.\nFor support contact clashofclans.feedback@supercell.net.,Crédits\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Tous droits réservés.\nToute utilisation de ce logiciel est sujette aux Conditions d´utilisation et à la Charte de confidentialité disponibles sur www.supercell.net.\nVous pouvez contacter l´assistance à l´adresse clashofclans.feedback@supercell.net.,Mitwirkende\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Alle Rechte vorbehalten.\nJegliche Nutzung dieser Software unterliegt den Geschäftsbedingungen und der Datenschutzerklärung auf www.supercell.net.\nKontakt: clashofclans.feedback@supercell.net.,Créditos\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Todos los derechos reservados.\nTodo uso de este software está sujeto a Términos y Condiciones y a la Política Privada en www.supercell.net.\nSi necesitas ayuda contáctanos en clashofclans.feedback@supercell.net.,Riconoscimenti\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Tutti i diritti riservati.\nL'uso di questo software è soggetto a termini e condizioni d'uso e alla privacy policy disponibili su www.supercell.net.\nPer il supporto invia una mail a clashofclans.feedback@supercell.net.,Credits\n\n<names>\n\nClash of Clans (tm) m) <version>\nCopyright 2012 Supercell Ltd. Alle rechten voorbehouden.\nHet gebruik van deze software is onderhevig aan de algemene voorwaarden en het privacybeleid op www.supercell.net.\nNeem voor ondersteuning contact op met clashofclans.feedback@supercell.net.,"Takkeliste\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Med enerett.\nAll bruk av denne programvaren er gjenstand for regler og vilkår og personvernpolicy på www.supercell.net.\nFor kundestøtte, kontakt clashofclans.feedback@supercell.net.",Créditos\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Todos os direitos reservados.\nQualquer uso deste software está sujeito aos Termos e Condições e Política de Privacidade em www.supercell.net.\nPara obter suporte contate clashofclans.feedback@supercell.net.,"Yapımcılar\n\n<names>\n\nClash of Clans ™ <version>\nTelif Hakkı 2012 Supercell Ltd. Tüm Hakları Saklıdır.\nBu yazılımın tüm kullanımı, www.supercell.net adresindeki Hüküm ve Koşullar ile Gizlilik Politikası'na tabidir.\nDestek için lütfen şu adresle iletişime geçiniz: clashofclans.feedback@supercell.net."
TID_GEM_BUY_CONFIRMATION,Gems received!,Gemmes reçues !,Juwelen erhalten!,¡Gemas recibidas!,Gemme ricevute!,Edelstenen ontvangen!,Smykker mottatt!,Pedras recebidas!,Taşlar alındı!
TID_MULTIDEVICE_INFO,"If you want to play Clash of Clans with multiple iOS devices, connect using the same Game Center account","Si vous souhaitez jouer à Clash of Clans sur plusieurs appareils iOS, connectez-vous avec le même compte Game Center","Wenn du Clash of Clans mit mehreren iOS-Geräten spielen möchtest, verbinde sie mit demselben Game Center Konto","Si quieres jugar a Clash of Clans en diversos dispositivos iOS, conéctate con la misma cuenta de Game Center.","Se vuoi giocare a Clash of Clans su diversi dispositivi iOS, connettiti utilizzando lo stesso account Game Center.","Als je Clash of Clans op meerdere iOS-apparaten wilt spelen, meld je dan aan met hetzelfde Game Center-account","Hvis du vil spille Clash of Clans med flere iOS-enheter, koble til ved hjelp av den samme Game Center-kundekontoen","Se você quiser jogar Clash of Clans com múltiplos dispositivos IOS, conecte-se usando a mesma conta do Game Center","Birden fazla iOS aygıtıyla Clash of Clans oynamak istiyorsan, aynı Game Center hesabını kullanarak bağlan"
TID_SHIELD_INFO,"This shield will prevent all attacks on your village for a limited time. If you buy more than one shield, their durations are added up. Attacking other players will remove your shield.","Ce bouclier empêchera toute attaque sur votre village pendant une période de temps limitée. Si vous achetez plusieurs boucliers, les durées se cumulent. Attaquer d´autres joueurs aura pour effet de dissiper votre bouclier.","Dieser Schild wird für beschränkte Zeit alle Angriffe auf dein Dorf verhindern. Wenn du mehr als einen Schild kaufst, wird die Zeit der Schilde addiert. Durch Angriffe auf andere Spieler wird dein Schild entfernt.","Este escudo evitará cualquier ataque sobre tu aldea durante un tiempo limitado. Si compras más de un escudo, se sumará la duración de cada uno. Si atacas a otros jugadores, tu escudo se eliminará.","Questo scudo previene tutti gli attacchi al tuo villaggio per un tempo limitato. Se acquisti più scudi, la loro durata sarà accumulata. Se attacchi gli altri giocatori, il tuo scudo si esaurisce.","Dit schild beschermt je dorp voor een bepaalde tijd tegen alle aanvallen. Als je meerdere schilden koopt, wordt hun duur bij elkaar opgeteld. Zodra je andere spelers aanvalt, wordt het schild verwijderd.","Dette skjoldet hindrer alle angrep på landsbyen din i en begrenset tid. Hvis du kjøper mer enn ett skjold, legges varigheten deres sammen. Skjoldet forsvinner når du angriper andre spillere.","Este escudo impedirá todos os ataques à sua aldeia por um tempo limitado. Se você comprar mais de um escudo, suas durações são somadas. Se você atacar outros jogadores seu escudo será removido.","Bu kalkan, sınırlı bir süre için köyüne yapılan tüm saldırıları önleyecektir. Eğer birden fazla kalkan satın alırsan süreleri üst üste eklenir. Diğer oyunculara saldırmak, kalkanının süresini bitirecektir."
TID_PLACEMENT_HINT_TUTORIAL1,Tap multiple times in an empty area to deploy your troops,Touchez plusieurs fois les zones vides pour y déployer vos troupes,"Tippe mehrmals auf ein freies Gebiet, um deine Truppen hinzuschicken",Toca varias veces en una zona vacía para desplegar tus tropas.,Tocca più volte un'area vuota per schierare le tue truppe.,Tik meerdere keren op een leeg gebied om je troepen in te zetten,Trykk flere ganger på et tomt område for å utplassere soldatene dine,Toque várias vezes em uma área vazia para implantar suas tropas,Askerlerini göndermek için boş bir yere birden fazla kez dokun
TID_PLACEMENT_HINT_TUTORIAL2,You can deploy multiple troops by holding down your finger,Vous pouvez déployer plusieurs troupes en restant appuyé,"Du kannst mehrere Truppen schicken, indem du mit deinem Finger gedrückt hältst",Puedes desplegar varias tropas si mantienes el toque con el dedo.,Puoi schierare più truppe per volta tenendo premuto con il dito.,Zet meerdere troepen in door je vinger op het scherm vast te houden,Du kan utplassere flere soldater ved å holde fingeren nede,Você pode implantar tropas múltiplas mantendo o dedo pressionado,Parmağını basılı tutarak birden fazla asker gönderebilirsin
TID_PLACEMENT_HINT,Tap or press and hold to deploy troops,Appuyez ou maintenez appuyé pour déployer vos troupes.,"Antippen oder drücken und gedrückt halten, um Truppen einzusetzen",Toca o pulsa y mantén pulsado para desplegar las tropas,Tocca o premi e tieni premuto per schierare le truppe,Tik of houd ingedrukt om troepen in te zetten,Trykk eller trykk og hold for å utplassere soldater,Toque ou pressione e segure para mobilizar as tropas,Askerleri konuşlandırmak için dokun ya da bas ve basılı tut
TID_ACHIEVEMENT_NPC_STARS_TITLE,Get those Goblins!,Attrapez ces Gobelins !,Schnapp dir diese Kobolde!,¡Alcanza a esos duendes!,Prendi quei goblin!,Pak die gobelins!,Ta disse nissene!,Pegue aqueles Goblins!,Şu Goblinleri yakala!
TID_ACHIEVEMENT_NPC_STARS,Win <number> stars on the Campaign Map,Gagnez <number> étoiles sur la Carte de la campagne,Gewinne <number> Sterne auf der Kampagnenkarte,Gana <number> estrellas en el mapa de la campaña.,Vinci <number> stelle sulla Mappa campagna,Win <number> sterren op de Campagnekaart,Vinn <number> stjerner på kampanjekartet,Ganhe <number> estrelas no mapa de campanha,Senaryo Haritası üzerinde <number> yıldız kazan
